itv储备线路,#genre#
成都影视,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/CDTV-4_4000.m3u8?E=&U=&A=&K=&P=&S=
成都公共,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/CDTV-5_4000.m3u8?E=&U=&A=&K=&P=&S=
成都购物,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/mrgw_4000.m3u8?E=&U=&A=&K=&P=&S=
新视觉,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ycxsjH265_4000.m3u8?E=&U=&A=&K=&P=&S=
动漫秀场,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/yybb-dmxc-H265_4000.m3u8?E=&U=&A=&K=&P=&S=
都市剧场,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/yxfydsjcHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
法治天地,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/fztx_4000.m3u8?E=&U=&A=&K=&P=&S=
纪实科教,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/bjjs_2000.m3u8?E=&U=&A=&K=&P=&S=
嘉佳卡通,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jjkt_2000.m3u8?E=&U=&A=&K=&P=&S=
家庭理财,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jtlc_4000.m3u8?E=&U=&A=&K=&P=&S=
财富天下,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/cftx_4000.m3u8?E=&U=&A=&K=&P=&S=
金鹰纪实,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jyjsHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
金鹰卡通,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jykt_2000.m3u8?E=&U=&A=&K=&P=&S=
劲爆体育,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lqhxjcHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
卡酷少儿,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/kkkt_4000.m3u8?E=&U=&A=&K=&P=&S=
快乐垂钓,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/fyzqklcdHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
梨园频道,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ly_4000.m3u8?E=&U=&A=&K=&P=&S=
魅力足球,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/mlyy_4000.m3u8?E=&U=&A=&K=&P=&S=
生活时尚,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/shssH265_4000.m3u8?E=&U=&A=&K=&P=&S=
四海钓鱼,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/shdy_4000.m3u8?E=&U=&A=&K=&P=&S=
天元围棋,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/tywq_2000.m3u8?E=&U=&A=&K=&P=&S=
武术世界,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/wssj_4000.m3u8?E=&U=&A=&K=&P=&S=
先锋乒羽,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/xfpy_4000.m3u8?E=&U=&A=&K=&P=&S=
证劵服务,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jz_2000.m3u8?E=&U=&A=&K=&P=&S=
中国天气,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/zgqx_4000.m3u8?E=&U=&A=&K=&P=&S=
川网导视,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/cwdsHDH264_4000.m3u8?E=&U=&A=&K=&P=&S=
精品导视,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jpdsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
沙湾融媒,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/swxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
安居综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ajxw_2000.m3u8?E=&U=&A=&K=&P=&S=
安岳综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ayxwzh_4000.m3u8?E=&U=&A=&K=&P=&S=
安州综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/azgq_2000.m3u8?E=&U=&A=&K=&P=&S=
巴中文旅,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/bzetH264_2000.m3u8?E=&U=&A=&K=&P=&S=
巴中综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/bzytH265_4000.m3u8?E=&U=&A=&K=&P=&S=
巴州电视,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/bzxw_4000.m3u8?E=&U=&A=&K=&P=&S=
宝兴综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/bxdst_2000.m3u8?E=&U=&A=&K=&P=&S=
北川综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/bcxwHD_2000.m3u8?E=&U=&A=&K=&P=&S=
苍溪综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/cxxwgqH265_4000.m3u8?E=&U=&A=&K=&P=&S=
长宁综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/znzh_2000.m3u8?E=&U=&A=&K=&P=&S=
朝天综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ctxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
船山综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/csxw_2000.m3u8?E=&U=&A=&K=&P=&S=
达川新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/dcxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
达州导视,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/dzds_2000.m3u8?E=&U=&A=&K=&P=&S=
达州公共,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/dzgg_2000.m3u8?E=&U=&A=&K=&P=&S=
达州新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/dzxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
大英新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/dyxwzhH265_4000.m3u8?E=&U=&A=&K=&P=&S=
丹棱综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/dlxwzhH265_4000.m3u8?E=&U=&A=&K=&P=&S=
东兴综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/dxxwzh_4000.m3u8?E=&U=&A=&K=&P=&S=
峨眉综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/emsxw_2000.m3u8?E=&U=&A=&K=&P=&S=
恩阳新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/eyxw_2000.m3u8?E=&U=&A=&K=&P=&S=
涪城综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/fcgq_2000.m3u8?E=&U=&A=&K=&P=&S=
富顺综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/fszh_2000.m3u8?E=&U=&A=&K=&P=&S=
甘孜综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/gzxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
古蔺新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/glxwzhgq_2000.m3u8?E=&U=&A=&K=&P=&S=
广安公共,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/gagg_2000.m3u8?E=&U=&A=&K=&P=&S=
广安新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/gaxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
广汉综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ghxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
广元文化,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/gyggH265_4000.m3u8?E=&U=&A=&K=&P=&S=
广元综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/gyzhH265_4000.m3u8?E=&U=&A=&K=&P=&S=
汉源综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/hyxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
合江新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/hjxw_2000.m3u8?E=&U=&A=&K=&P=&S=
洪雅新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/hyzh_2000.m3u8?E=&U=&A=&K=&P=&S=
华蓥综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/hyxw_2000.m3u8?E=&U=&A=&K=&P=&S=
会理新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/hlyt_4000.m3u8?E=&U=&A=&K=&P=&S=
夹江新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jjxw_2000.m3u8?E=&U=&A=&K=&P=&S=
简阳新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jyxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
剑阁综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jgxwzhH265_4000.m3u8?E=&U=&A=&K=&P=&S=
江油综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jyxwHD_2000.m3u8?E=&U=&A=&K=&P=&S=
开江新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/kjxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
乐山公共,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lsggpd_4000.m3u8?E=&U=&A=&K=&P=&S=
乐山新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lsxwzh_4000.m3u8?E=&U=&A=&K=&P=&S=
利州综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lzxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
凉山新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lsxwHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
凉山彝语,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/yyzh_2000.m3u8?E=&U=&A=&K=&P=&S=
龙泉综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lqxw_2000.m3u8?E=&U=&A=&K=&P=&S=
隆昌综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lcxw_2000.m3u8?E=&U=&A=&K=&P=&S=
芦山综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lszh_2000.m3u8?E=&U=&A=&K=&P=&S=
马边综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/mbxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
眉山综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/msxwzhgq_2000.m3u8?E=&U=&A=&K=&P=&S=
米易综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/myxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
绵阳科技,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/myetH265_4000.m3u8?E=&U=&A=&K=&P=&S=
绵阳新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/myytH265_4000.m3u8?E=&U=&A=&K=&P=&S=
冕宁综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/mnxw_2000.m3u8?E=&U=&A=&K=&P=&S=
南部综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/nbxw_2000.m3u8?E=&U=&A=&K=&P=&S=
南充综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ncxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
南溪综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/nxt_2000.m3u8?E=&U=&A=&K=&P=&S=
内江公共,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/njgg_4000.m3u8?E=&U=&A=&K=&P=&S=
内江综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/njzh_4000.m3u8?E=&U=&A=&K=&P=&S=
宁南综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/nnt_4000.m3u8?E=&U=&A=&K=&P=&S=
攀钢新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pgxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
彭山综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pszh_2000.m3u8?E=&U=&A=&K=&P=&S=
彭州综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pzxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
蓬安综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pazh_2000.m3u8?E=&U=&A=&K=&P=&S=
蓬溪新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pxxw_2000.m3u8?E=&U=&A=&K=&P=&S=
平昌综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pcxw_2000.m3u8?E=&U=&A=&K=&P=&S=
平武综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pwgq_4000.m3u8?E=&U=&A=&K=&P=&S=
屏山综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/psxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
蒲江综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pjxw_4000.m3u8?E=&U=&A=&K=&P=&S=
普格综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pgt_4000.m3u8?E=&U=&A=&K=&P=&S=
青川综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/qcxwzhH265_4000.m3u8?E=&U=&A=&K=&P=&S=
青神综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/qszh_2000.m3u8?E=&U=&A=&K=&P=&S=
渠县新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/qxxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
仁和新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/rhxwH264_2000.m3u8?E=&U=&A=&K=&P=&S=
荣县综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/rxzh_2000.m3u8?E=&U=&A=&K=&P=&S=
射洪综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/shzhH264_2000.m3u8?E=&U=&A=&K=&P=&S=
双流综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/slgq_2000.m3u8?E=&U=&A=&K=&P=&S=
遂宁综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/snxwzhHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
天全新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/tqzh_2000.m3u8?E=&U=&A=&K=&P=&S=
通江综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/tjxwH265_4000.m3u8?E=&U=&A=&K=&P=&S=
旺苍新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/wcxwzhH265_4000.m3u8?E=&U=&A=&K=&P=&S=
温江综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/wjytH264_2000.m3u8?E=&U=&A=&K=&P=&S=
武胜综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/wsxw_2000.m3u8?E=&U=&A=&K=&P=&S=
西充综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/xczh_2000.m3u8?E=&U=&A=&K=&P=&S=
新都综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/xdzhpd_2000.m3u8?E=&U=&A=&K=&P=&S=
叙州新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ybx_2000.m3u8?E=&U=&A=&K=&P=&S=
宣汉综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/xhxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
雅安公共,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/yagg_2000.m3u8?E=&U=&A=&K=&P=&S=
雅安新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/yazh_2000.m3u8?E=&U=&A=&K=&P=&S=
雅安雨城,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ycpd_2000.m3u8?E=&U=&A=&K=&P=&S=
仪陇新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ylxw_2000.m3u8?E=&U=&A=&K=&P=&S=
宜宾公共,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ybetH264_2000.m3u8?E=&U=&A=&K=&P=&S=
宜宾新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ybytH264_2000.m3u8?E=&U=&A=&K=&P=&S=
越西综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/yxt_4000.m3u8?E=&U=&A=&K=&P=&S=
昭化综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/zhxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
中江新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/zjxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
资阳新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/zyxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
资中综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/zzzh_2000.m3u8?E=&U=&A=&K=&P=&S=
自贡文化,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/zggg_4000.m3u8?E=&U=&A=&K=&P=&S=
自贡综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/zgxw_4000.m3u8?E=&U=&A=&K=&P=&S=
郫县新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pxds1_2000.m3u8?E=&U=&A=&K=&P=&S=
阆中综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lzxw_2000.m3u8?E=&U=&A=&K=&P=&S=
沐川综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/mcxw_2000.m3u8?E=&U=&A=&K=&P=&S=
泸定综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ldxw_4000.m3u8?E=&U=&A=&K=&P=&S=
泸县综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lxxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
珙县新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/gxzh_2000.m3u8?E=&U=&A=&K=&P=&S=
梓潼综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ztgq_2000.m3u8?E=&U=&A=&K=&P=&S=
犍为新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/qwxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
成都高新区,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/cdgxdstgq_2000.m3u8?E=&U=&A=&K=&P=&S=
阿坝州藏语,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/wypdgqH265_4000.m3u8?E=&U=&A=&K=&P=&S=
大邑电视台,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/dyytH265_4000.m3u8?E=&U=&A=&K=&P=&S=
金口河综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jkhdst_2000.m3u8?E=&U=&A=&K=&P=&S=
攀枝花新闻,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/pzhytH265_4000.m3u8?E=&U=&A=&K=&P=&S=
青白江综合,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/qbjxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
盐边电视台,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ybtgq_2000.m3u8?E=&U=&A=&K=&P=&S=
纳溪1,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/nxxw_2000.m3u8?E=&U=&A=&K=&P=&S=
盐亭1,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ytzh_2000.m3u8?E=&U=&A=&K=&P=&S=
乐游,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/qjs-HDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
崇州,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/czyt_4000.m3u8?E=&U=&A=&K=&P=&S=
德昌,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/dcxw_4000.m3u8?E=&U=&A=&K=&P=&S=
峨边,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ebdst_2000.m3u8?E=&U=&A=&K=&P=&S=
高县-1,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/gxt_2000.m3u8?E=&U=&A=&K=&P=&S=
江安,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jat_2000.m3u8?E=&U=&A=&K=&P=&S=
金牛,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jnyx_2000.m3u8?E=&U=&A=&K=&P=&S=
金堂,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/jtzhpd_2000.m3u8?E=&U=&A=&K=&P=&S=
邻水,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/lsxw_2000.m3u8?E=&U=&A=&K=&P=&S=
罗江,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/ljxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
绵竹,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/mzxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
名山,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/msdstH265_2000.m3u8?E=&U=&A=&K=&P=&S=
木里,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/mltHD_4000.m3u8?E=&U=&A=&K=&P=&S=
南江,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/njxw_2000.m3u8?E=&U=&A=&K=&P=&S=
前锋,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/qfxw_2000.m3u8?E=&U=&A=&K=&P=&S=
三台TV,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/stxwHD_2000.m3u8?E=&U=&A=&K=&P=&S=
石棉,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/smxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
松潘,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/spxwzhpdH264_2000.m3u8?E=&U=&A=&K=&P=&S=
万源,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/wyxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
西昌,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/xctHD_2000.m3u8?E=&U=&A=&K=&P=&S=
喜德,http://101.204.187.4:8731/hls.p2p.com/58.144.234.4/live2.rxip.sc96655.com/live/xdxw_4000.m3u8?E=&U=&A=&K=&P=&S=
